Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
1,Gujarat_24,Banaskantha_441,Dantiwada_3735,,Deri,Deri,Piezometer,SGWD,G_1_BK_021,24.4425,72.42,60.0,Unconfined,16.3,6.8,9.4,8.8,15.4,2.0,8.1,13.55,24.4,11.2,13.35,3.1,20.8,16.9,20.2,12.3
2,Gujarat_24,Banaskantha_441,Dantiwada_3735,Akoli_155943,Akoli,Akoli,Piezometer,SGWD,G_1_BK_018,24.49694,72.38389,60.0,Unconfined,15.4,18.7,24.7,22.2,31.2,8.1,15.8,21.3,55.6,49.4,57.1,34.1,58.2,49.45,51.4,46.4
4,Gujarat_24,Banaskantha_441,Dantiwada_3735,Dantiwada_155954,Dantiwada,Dantiwada,Piezometer,SGWD,G_1_BK_020,24.35583,72.36389,60.0,Unconfined,12.9,9.6,13.0,12.6,15.8,7.0,8.6,7.85,11.1,10.2,8.8,2.7,10.8,6.8,12.4,6.45
5,Gujarat_24,Banaskantha_441,Dantiwada_3735,Gundari_155956,Gundari,Gundari,Dug Well,SGWD,BK-105,24.55611,72.35083,28.35,Unconfined,16.7,16.3,16.8,15.4,23.4,8.6,15.2,11.2,17.3,13.9,16.0,10.0,22.2,19.8,21.6,20.3
7,Gujarat_24,Banaskantha_441,Dantiwada_3735,Rajkot_275879,Rajkot,Rajkot,Piezometer,SGWD,BKPZ-060,24.46152,72.38372,60.0,Unconfined,15.0,10.3,12.0,16.0,22.6,5.9,8.8,11.2,19.3,11.2,12.1,7.1,13.4,9.5,12.8,9.8
8,Gujarat_24,Banaskantha_441,Dantiwada_3735,Vaghrol_155970,Vaghrol,Vaghrol,Piezometer,SGWD,HPII_BK_002,24.29222,72.3375,54.32,Unconfined,25.3,21.5,22.7,23.1,28.3,21.8,24.2,24.0,25.4,24.5,22.9,21.0,22.4,21.1,23.15,21.4
11,Gujarat_24,Banaskantha_441,Deesa_3740,Agdol_155974,Sodapur,Sodapur,Dug Well,CGWB,W242405072174501,24.40139,72.29583,23.59,Unconfined,19.02,11.84,14.37,12.1,12.16,7.83,6.21,12.83,18.19,12.69,16.89,13.57,20.57,21.42,23.38,16.95
12,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti 155976,Akhol Moti,Akhol Moti -I,Piezometer,SGWD,BKPZ-084,24.28736,72.16598,90.0,Unconfined,77.3,68.5,67.5,70.0,78.2,63.8,62.1,63.8,72.5,65.6,61.2,58.2,63.3,62.1,66.7,63.4
13,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti_155976,Akhol Moti-Ii,,Piezometer,SGWD,BKPZ-085,24.28736,72.16528,127.0,Confined I,79.88,79.98,70.78,74.18,82.08,71.28,65.48,67.13,76.33,77.78,78.0,76.43,77.58,76.53,78.6,75.3
14,Gujarat_24,Banaskantha_441,Deesa_3740,Akhol Moti_155976,Akhol Moti-Iii,,Piezometer,SGWD,BKPZ-086,24.28746,72.16518,150.0,Confined II,88.9,88.5,86.3,87.1,97.6,85.15,80.0,81.7,90.15,91.1,91.55,90.1,91.1,90.0,92.2,90.1
15,Gujarat_24,Banaskantha_441,Deesa_3740,Baiwada_155978,Baiwada,,Piezometer,SGWD,G_1_BK_023,24.35417,72.17028,119.3,Confined I,87.1,84.6,86.2,86.2,88.0,88.0,90.0,88.8,89.3,89.2,91.0,89.65,90.4,88.85,91.3,89.2
16,Gujarat_24,Banaskantha_441,Deesa_3740,Gharnal Moti_156011,Gharnal Moti-Iii,,Piezometer,SGWD,BKPZ-089,24.21417,72.01472,150.66,Confined II,131.5,128.1,131.5,133.3,136.3,133.2,139.0,142.55,139.68,136.9,139.9,137.5,139.3,136.6,137.8,134.6
18,Gujarat_24,Banaskantha_441,Deesa_3740,Nava_156052,Nava,,Piezometer,SGWD,BKPZ-091,24.12972,72.17167,150.0,Confined I,84.1,88.6,91.8,92.4,95.8,89.1,92.4,90.0,99.1,94.5,106.0,103.0,109.9,106.6,123.2,117.6
19,Gujarat_24,Banaskantha_441,Deesa_3740,Nesda Juna_156053,Nesda Juna,,Piezometer,SGWD,HPII_BK_003,24.19556,71.98028,150.45,Confined I,118.5,114.8,116.2,116.8,121.6,119.0,121.0,128.2,121.15,119.1,120.6,118.8,128.2,126.5,127.6,125.2
21,Gujarat_24,Banaskantha_441,Deesa_3740,Tetoda_156083,Tetoda-1,,Piezometer,SGWD,G_1_BK_036,24.425,72.1025,150.0,Confined I,94.4,91.6,94.8,81.7,84.9,84.35,83.0,83.2,84.34,84.7,87.5,81.3,85.9,84.3,91.2,87.5
22,Gujarat_24,Banaskantha_441,Deesa_3740,Tetoda_156083,Tetoda-2,,Piezometer,SGWD,G_1_BK_037,24.4251,72.1024,89.0,Unconfined,77.4,74.1,74.6,71.2,72.4,72.0,71.7,71.4,72.2,71.8,77.6,67.7,76.8,72.9,74.2,73.1
23,Gujarat_24,Banaskantha_441,Deodar_3741,,Mesra,Mesra,Piezometer,SGWD,G_1_BK_046,24.08028,71.72,90.0,Confined I,69.1,65.0,65.1,55.6,62.7,53.5,55.3,54.2,58.9,52.0,56.0,53.6,56.2,54.3,55.3,48.5
25,Gujarat_24,Banaskantha_441,Dhanera_3734,Alvada_156152,Alwada,,Piezometer,SGWD,G_1_BK_048,24.54972,72.22056,57.0,Unconfined,38.5,35.5,37.9,34.2,39.7,32.6,33.1,34.3,39.5,38.1,37.5,33.9,40.5,38.7,42.5,41.8
26,Gujarat_24,Banaskantha_441,Dhanera_3734,Anapur Chhota_156153,Anapur Chhota,,Piezometer,SGWD,BKPZ-059,24.58,72.2,47.87,Unconfined,37.3,33.2,34.2,30.0,37.4,32.5,34.0,34.0,36.7,34.98,37.0,30.1,36.2,34.45,37.4,34.9
28,Gujarat_24,Banaskantha_441,Dhanera_3734,Khimat_156165,Khimat,,Piezometer,SGWD,BKPZ-093,24.49,72.18,90.0,Unconfined,58.19,54.29,54.69,54.39,55.69,55.69,56.69,56.09,58.69,55.89,57.2,53.59,57.94,54.89,56.39,54.2
29,Gujarat_24,Banaskantha_441,Dhanera_3734,Lawara_156168,Lawara,,Piezometer,SGWD,G_1_BK_052,24.61,71.93,119.0,Confined I,57.4,57.4,58.3,56.6,62.4,60.5,63.5,63.4,69.3,66.0,63.5,61.1,62.7,60.5,65.4,61.2
30,Gujarat_24,Banaskantha_441,Dhanera_3734,Lawara_156168,Lawara,Lawara - 1,Piezometer,SGWD,G_1_BK_052,24.61222,71.92889,119.0,Confined I,57.4,57.4,58.3,56.6,62.4,60.5,63.5,63.4,69.3,66.0,63.5,61.1,62.7,60.5,65.4,61.2
31,Gujarat_24,Banaskantha_441,Dhanera_3734,Nenava_156171,Nenava,,Piezometer,SGWD,BKPZ-061,24.65,71.88,90.0,Confined I,45.8,44.1,48.6,47.1,51.9,49.4,53.8,53.0,60.6,55.7,60.0,58.3,59.2,57.6,70.1,69.8
32,Gujarat_24,Banaskantha_441,Dhanera_3734,Vachhol_156185,Vachhol,,Piezometer,SGWD,HPII_BK_010,24.61,72.31,54.2,Unconfined,39.2,35.5,37.9,36.5,37.5,37.3,37.2,37.1,39.4,39.9,43.1,36.8,42.7,38.1,44.8,42.6
