Sr. No.,State_Name_With_LGD_Code,DISTRICT,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,2015_Pre-monsoon,2015_Post-monsoon,2016_Pre-monsoon,2016_Post-monsoon,2017_Pre-monsoon,2017_Post-monsoon,2018_Pre-monsoon,2018_Post-monsoon,2019_Pre-monsoon,2019_Post-monsoon,2020_Pre-monsoon,2020_Post-monsoon,2021_Pre-monsoon,2021_Post-monsoon,2022_Pre-monsoon,2022_Post-monsoon,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
3506,Maharashtra_27,PUNE,Baramati_4512,,Sangavi,Sangavi,Dug well,SGWD,W180331074291101,18.0583,74.4875,7.9,Basalt,4.6,1.3,7.0,1.0,3.9,1.15,3.4,3.3,7.8,2.1,3.8,1.3,6.5,1.2,6.2,2.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3507,Maharashtra_27,PUNE,Baramati_4512,,Vadgaon Nimbalkar,Vadgaon Nimbalkar,Dug well,SGWD,W180813074231501,18.136944,74.3875,8.0,Basalt,6.0,2.9,7.3,1.7,2.6,2.6,2.6,1.7,3.8,1.0,1.8,1.5,2.0,1.8,5.0,2.8,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3508,Maharashtra_27,PUNE,Baramati_4512,Baburdi_185368,Baburdi,Baburdi,Dug well,SGWD,W181645074223001,18.276804,74.374067,10.8,Basalt,8.2,3.8,7.5,0.8,6.4,0.55,5.7,3.5,9.5,3.5,5.5,0.6,6.0,1.1,5.2,0.55,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3509,Maharashtra_27,PUNE,Baramati_4512,Dhakale_185376,Dhakale,Dhakale,Dug well,SGWD,W181023074262701,18.171204,74.437967,10.0,Basalt,6.4,5.5,9.8,2.3,9.6,0.5,9.7,5.1,9.0,3.4,9.1,0.9,8.7,1.4,5.6,1.7,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3511,Maharashtra_27,PUNE,Baramati_4512,Jogawadi_185391,Jogwadi,Jogwadi,Dug well,SGWD,W181230074174501,18.242104,74.264367,6.7,Basalt,5.4,1.4,6.2,1.2,6.6,1.8,6.2,6.0,6.2,4.9,3.8,0.7,4.1,3.9,5.9,2.1,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3512,Maharashtra_27,PUNE,Baramati_4512,Lonibhapkar_185410,Loni Bhapkar,Loni Bhapkar,Dug well,SGWD,W181341074231101,18.210504,74.367567,10.9,Basalt,10.0,6.0,8.2,3.8,7.65,1.4,5.8,2.2,4.9,2.3,2.0,0.5,1.0,1.0,6.5,0.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3513,Maharashtra_27,PUNE,Baramati_4512,Moragon_185422,Morgaon,Morgaon,Dug well,SGWD,W181757074185201,18.280904,74.304667,15.3,Basalt,12.5,11.0,10.5,8.4,13.6,11.2,12.7,11.0,15.25,10.9,12.5,7.8,8.2,6.75,8.85,5.95,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3514,Maharashtra_27,PUNE,Baramati_4512,Murti_185424,Murti,Murti,Dug well,SGWD,W181250074172001,18.211504,74.286567,16.3,Basalt,6.7,2.6,5.0,2.0,11.6,2.15,11.9,9.2,14.3,5.9,8.0,1.4,9.7,3.8,9.2,1.3,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3515,Maharashtra_27,PUNE,Baramati_4512,Supe_185449,Supe,Supe,Dug well,SGWD,W182010074231501,18.332304,74.382367,13.4,Basalt,8.6,3.9,8.9,3.5,6.0,2.6,8.02,8.0,8.9,5.2,11.5,1.8,8.9,2.5,5.9,1.4,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
3517,Maharashtra_27,PUNE,Baramati_4512,Undawadi K.P._185452,Undawadikade Pathar,Undawadikade Pathar,Dug well,SGWD,W181455074323001,18.2458,74.5375,6.3,Basalt,6.0,4.7,6.0,3.5,5.8,1.5,6.2,6.0,6.25,5.1,6.1,2.0,6.25,2.2,6.3,1.6,MAHARASHTRA,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6.0,1015.7,0.7,36.6,861.0,117.4
